IPPR,MAD
28,0.06382978723404255
8152,0.0
7778,0.02631578947368421
11109,0.014492753623188406
4169,0.019662921348314606
18257,0.0
57289,0.02830188679245283
79297,0.0
92302,0.020202020202020204
36362,0.0
58390,0.0625
60402,0.0
66423,0.05952380952380952
12427,0.00966183574879227
66615,0.014084507042253521
25618,0.03278688524590164
23675,0.0
97792,0.028169014084507043
59806,0.014285714285714285
14810,0.038781163434903045
72816,0.007017543859649123
65820,0.005319148936170213
11826,0.0
57838,0.03614457831325302
38864,0.004987531172069825
33888,0.021052631578947368
54909,0.03879310344827586
61115,0.0
1182,0.0
411349,0.012658227848101266
781390,0.031496062992125984
741397,0.0196078431372549
211420,0.015306122448979591
841477,0.0
101582,0.0
191600,0.059602649006622516
711823,0.013333333333333334
682231,0.04878048780487805
322306,0.0
522313,0.05673758865248227
52382,0.0
932529,0.006430868167202572
52572,0.0
892721,0.015873015873015872
952745,0.0
302752,0.0
682759,0.025974025974025976
642776,0.0
232824,0.0425531914893617
472867,0.0
423004,0.08823529411764705
253052,0.017094017094017096
843100,0.03125
743344,0.021352313167259787
993351,0.03550295857988166
53398,0.045627376425855515
573437,0.027972027972027972
733491,0.046296296296296294
883792,0.013043478260869566
53808,0.0
583813,0.0
944379,0.0
254390,0.03048780487804878
414511,0.0
24598,0.0
904720,0.05128205128205128
474777,0.007067137809187279
24866,0.03550295857988166
594874,0.025974025974025976
535028,0.026666666666666665
115083,0.038461538461538464
845133,0.030303030303030304
715231,0.0
455261,0.08108108108108109
35416,0.0
545505,0.0
15586,0.019230769230769232
105684,0.029850746268656716
675709,0.0
705767,0.0
895812,0.04838709677419355
215875,0.024096385542168672
666348,0.02727272727272727
306846,0.03690036900369004
166908,0.0
496951,0.042682926829268296
587008,0.0
87096,0.01744186046511628
537168,0.011627906976744186
567804,0.013245033112582781
268227,0.00823045267489712
909245,0.0
99351,0.23809523809523808
169376,0.0
609488,0.0
99634,0.00851063829787234
699682,0.07432432432432433
5710085,0.0
6510458,0.0
1510887,0.0
1511832,0.0
2112385,0.0064516129032258064
3012743,0.0979020979020979
6313146,0.0
313522,0.05970149253731343
8313812,0.02877697841726619
6213845,0.039473684210526314
6914314,0.016129032258064516
4215423,0.009852216748768473
6616846,0.0
1916911,0.010256410256410256
5617045,0.0
9617807,0.03787878787878788
9318270,0.019230769230769232
7619194,0.03333333333333333
3419322,0.03836930455635491
819720,0.005698005698005698
3620632,0.01764705882352941
420940,0.12000000000000001
3720963,0.0
